year,month,state,monthNum,fatalities
2021,Dec.21,HI,11,2
2021,Dec.21,NJ,11,2
2021,Dec.21,TX,11,1
2021,Dec.21,CA,11,3
2021,Dec.21,PA,11,2
2021,Dec.21,NC,11,2
2021,Dec.21,MN,11,3
2021,Nov.21,MN,10,2
2021,Nov.21,NY,10,1
2021,Nov.21,IL,10,2
2021,Nov.21,SD,10,1
2021,Nov.21,MI,10,1
2021,Nov.21,CA,10,3
2021,Nov.21,TX,10,2
2021,Oct.21,CA,9,5
2021,Oct.21,CO,9,2
2021,Oct.21,OH,9,5
2021,Oct.21,LA,9,1
2021,Oct.21,FL,9,1
2021,Oct.21,NE,9,1
2021,Oct.21,IL,9,2
2021,Oct.21,TX,9,4
2021,Oct.21,TN,9,4
2021,Oct.21,IA,9,2
2021,Sep.21,WI,8,5
2021,Sep.21,FL,8,5
2021,Sep.21,ID,8,4
2021,Sep.21,OH,8,3
2021,Sep.21,ME,8,1
2021,Sep.21,TN,8,7
2021,Sep.21,MT,8,1
2021,Sep.21,VT,8,2
2021,Sep.21,IA,8,2
2021,Sep.21,NH,8,1
2021,Sep.21,LA,8,2
2021,Sep.21,UT,8,1
2021,Sep.21,NY,8,4
2021,Sep.21,CA,8,11
2021,Sep.21,OR,8,1
2021,Sep.21,TX,8,9
2021,Sep.21,IL,8,3
2021,Sep.21,GA,8,2
2021,Sep.21,PA,8,2
2021,Sep.21,VA,8,2
2021,Sep.21,AL,8,1
2021,Sep.21,MI,8,2
2021,Sep.21,NJ,8,2
2021,Sep.21,CO,8,1
2021,Aug.21,PR,7,2
2021,Aug.21,AL,7,3
2021,Aug.21,FL,7,3
2021,Aug.21,TN,7,7
2021,Aug.21,IL,7,3
2021,Aug.21,IN,7,4
2021,Aug.21,GA,7,5
2021,Aug.21,NH,7,2
2021,Aug.21,WI,7,1
2021,Aug.21,MI,7,3
2021,Aug.21,TX,7,23
2021,Aug.21,WV,7,2
2021,Aug.21,NC,7,4
2021,Aug.21,CA,7,21
2021,Aug.21,NY,7,2
2021,Aug.21,MN,7,2
2021,Aug.21,KY,7,3
2021,Aug.21,MO,7,2
2021,Aug.21,CO,7,3
2021,Aug.21,IA,7,1
2021,Aug.21,HI,7,1
2021,Aug.21,ND,7,1
2021,Aug.21,OH,7,3
2021,Aug.21,ME,7,1
2021,Aug.21,LA,7,2
2021,Aug.21,OR,7,2
2021,Aug.21,VA,7,1
2021,Aug.21,NE,7,2
2021,Aug.21,PA,7,1
2021,Jul.21,LA,6,3
2021,Jul.21,OR,6,3
2021,Jul.21,TN,6,4
2021,Jul.21,HI,6,2
2021,Jul.21,CO,6,3
2021,Jul.21,CT,6,2
2021,Jul.21,FL,6,4
2021,Jul.21,TX,6,13
2021,Jul.21,KY,6,3
2021,Jul.21,CA,6,12
2021,Jul.21,WI,6,1
2021,Jul.21,OK,6,4
2021,Jul.21,ME,6,1
2021,Jul.21,GA,6,4
2021,Jul.21,UT,6,1
2021,Jul.21,NJ,6,3
2021,Jul.21,NE,6,1
2021,Jul.21,MI,6,1
2021,Jul.21,ID,6,1
2021,Jul.21,NY,6,2
2021,Jul.21,MA,6,1
2021,Jul.21,VI,6,1
2021,Jul.21,IL,6,2
2021,Jul.21,SC,6,4
2021,Jul.21,KS,6,3
2021,Jul.21,NC,6,6
2021,Jul.21,PA,6,5
2021,Jul.21,AL,6,4
2021,Jul.21,OH,6,1
2021,Jul.21,MN,6,3
2021,Jul.21,MS,6,1
2021,Jun.21,KY,5,2
2021,Jun.21,OK,5,3
2021,Jun.21,CT,5,3
2021,Jun.21,CA,5,13
2021,Jun.21,MA,5,3
2021,Jun.21,KS,5,3
2021,Jun.21,TX,5,10
2021,Jun.21,MI,5,3
2021,Jun.21,CO,5,2
2021,Jun.21,FL,5,11
2021,Jun.21,AZ,5,2
2021,Jun.21,OR,5,3
2021,Jun.21,LA,5,6
2021,Jun.21,IL,5,5
2021,Jun.21,GA,5,5
2021,Jun.21,NC,5,7
2021,Jun.21,VT,5,1
2021,Jun.21,PR,5,2
2021,Jun.21,TN,5,4
2021,Jun.21,PA,5,3
2021,Jun.21,AR,5,2
2021,Jun.21,MD,5,6
2021,Jun.21,ID,5,1
2021,Jun.21,MN,5,3
2021,Jun.21,NV,5,4
2021,Jun.21,VA,5,1
2021,Jun.21,UT,5,2
