year,month,state,monthNum_1,fatalities,name,year_2,month_2,state_2,monthNum_2,fatalitiesNonCovid,year,month,state,monthNum,covidFatalities
2021,Dec.21,NJ,11,2,NJ_Dec 2021,2021,Dec.21,NJ,11,1,2021,Dec.21,NJ,11,1
2021,Dec.21,CA,11,3,CA_Dec 2021,2021,Dec.21,CA,11,1,2021,Dec.21,CA,11,2
2021,Dec.21,PA,11,2,PA_Dec 2021,2021,Dec.21,PA,11,1,2021,Dec.21,PA,11,1
2021,Dec.21,NC,11,2,NC_Dec 2021,2021,Dec.21,NC,11,1,2021,Dec.21,NC,11,1
2021,Dec.21,MN,11,3,MN_Dec 2021,2021,Dec.21,MN,11,1,2021,Dec.21,MN,11,2
2021,Nov.21,MN,10,2,MN_Nov 2021,2021,Nov.21,MN,10,1,2021,Nov.21,MN,10,1
2021,Nov.21,IL,10,2,IL_Nov 2021,2021,Nov.21,IL,10,1,2021,Nov.21,IL,10,1
2021,Nov.21,CA,10,3,CA_Nov 2021,2021,Nov.21,CA,10,2,2021,Nov.21,CA,10,1
2021,Nov.21,TX,10,2,TX_Nov 2021,2021,Nov.21,TX,10,1,2021,Nov.21,TX,10,1
2021,Oct.21,CA,9,5,CA_Oct 2021,2021,Oct.21,CA,9,2,2021,Oct.21,CA,9,3
2021,Oct.21,OH,9,5,OH_Oct 2021,2021,Oct.21,OH,9,4,2021,Oct.21,OH,9,1
2021,Oct.21,IL,9,2,IL_Oct 2021,2021,Oct.21,IL,9,1,2021,Oct.21,IL,9,1
2021,Oct.21,TX,9,4,TX_Oct 2021,2021,Oct.21,TX,9,2,2021,Oct.21,TX,9,2
2021,Oct.21,TN,9,4,TN_Oct 2021,2021,Oct.21,TN,9,1,2021,Oct.21,TN,9,3
2021,Oct.21,IA,9,2,IA_Oct 2021,2021,Oct.21,IA,9,1,2021,Oct.21,IA,9,1
2021,Sep.21,WI,8,5,WI_Sep 2021,2021,Sep.21,WI,8,4,2021,Sep.21,WI,8,1
2021,Sep.21,FL,8,5,FL_Sep 2021,2021,Sep.21,FL,8,4,2021,Sep.21,FL,8,1
2021,Sep.21,ID,8,4,ID_Sep 2021,2021,Sep.21,ID,8,3,2021,Sep.21,ID,8,1
2021,Sep.21,OH,8,3,OH_Sep 2021,2021,Sep.21,OH,8,2,2021,Sep.21,OH,8,1
2021,Sep.21,TN,8,7,TN_Sep 2021,2021,Sep.21,TN,8,3,2021,Sep.21,TN,8,4
2021,Sep.21,VT,8,2,VT_Sep 2021,2021,Sep.21,VT,8,1,2021,Sep.21,VT,8,1
2021,Sep.21,LA,8,2,LA_Sep 2021,2021,Sep.21,LA,8,1,2021,Sep.21,LA,8,1
2021,Sep.21,NY,8,4,NY_Sep 2021,2021,Sep.21,NY,8,3,2021,Sep.21,NY,8,1
