year,month,state,fatalities,fatalitiesNonCovid,covidFatalities
2021,Dec.21,NJ,2,1,1
2021,Dec.21,CA,3,1,2
2021,Dec.21,PA,2,1,1
2021,Dec.21,NC,2,1,1
2021,Dec.21,MN,3,1,2
2021,Nov.21,MN,2,1,1
2021,Nov.21,IL,2,1,1
2021,Nov.21,CA,3,2,1
2021,Nov.21,TX,2,1,1
2021,Oct.21,CA,5,2,3
2021,Oct.21,OH,5,4,1
2021,Oct.21,IL,2,1,1
2021,Oct.21,TX,4,2,2
2021,Oct.21,TN,4,1,3
2021,Oct.21,IA,2,1,1
2021,Sep.21,WI,5,4,1
2021,Sep.21,FL,5,4,1
2021,Sep.21,ID,4,3,1
2021,Sep.21,OH,3,2,1
2021,Sep.21,TN,7,3,4
2021,Sep.21,VT,2,1,1
2021,Sep.21,LA,2,1,1
2021,Sep.21,NY,4,3,1
2021,Sep.21,CA,11,2,9
2021,Sep.21,TX,9,3,6
2021,Sep.21,IL,3,2,1
2021,Sep.21,VA,2,1,1
2021,Sep.21,NJ,2,1,1
2021,Aug.21,AL,3,2,1
2021,Aug.21,FL,3,1,2
2021,Aug.21,TN,7,2,5
2021,Aug.21,IN,4,3,1
2021,Aug.21,GA,5,2,3
2021,Aug.21,NH,2,1,1
2021,Aug.21,TX,23,8,15
2021,Aug.21,WV,2,1,1
2021,Aug.21,NC,4,2,2
2021,Aug.21,CA,21,7,14
2021,Aug.21,NY,2,1,1
2021,Aug.21,MN,2,1,1
2021,Aug.21,KY,3,2,1
2021,Aug.21,MO,2,1,1
2021,Aug.21,CO,3,1,2
2021,Aug.21,OH,3,2,1
2021,Aug.21,LA,2,1,1
2021,Aug.21,OR,2,1,1
2021,Aug.21,NE,2,1,1
2021,Jul.21,LA,3,2,1
2021,Jul.21,OR,3,2,1
2021,Jul.21,TN,4,2,2
2021,Jul.21,FL,4,3,1
2021,Jul.21,TX,13,12,1
2021,Jul.21,CA,12,5,7
2021,Jul.21,NJ,3,1,2
2021,Jul.21,NY,2,1,1
2021,Jul.21,IL,2,1,1
2021,Jul.21,KS,3,2,1
2021,Jul.21,NC,6,3,3
2021,Jul.21,PA,5,3,2
2021,Jul.21,MN,3,2,1
2021,Jun.21,MA,3,2,1
2021,Jun.21,LA,6,5,1
2021,Jun.21,NC,7,6,1
2021,Jun.21,TN,4,3,1
2021,Jun.21,MN,3,2,1
2021,Jun.21,NV,4,2,2
2021,Jun.21,MO,2,1,1
2021,May.21,NY,7,6,1
2021,May.21,CA,8,6,2
2021,May.21,IL,6,3,3
2021,May.21,NM,2,1,1
2021,May.21,NJ,4,3,1
2021,May.21,TX,9,4,5
2021,May.21,WI,3,2,1
2021,May.21,VA,2,1,1
2021,Apr.21,LA,3,2,1
2021,Apr.21,VA,5,4,1
2021,Apr.21,SC,2,1,1
2021,Apr.21,CA,7,5,2
2021,Apr.21,TX,19,16,3
2021,Apr.21,NY,13,5,8
2021,Apr.21,MI,9,4,5
2021,Apr.21,IL,4,3,1
2021,Apr.21,OH,4,3,1
2021,Apr.21,NJ,3,1,2
2021,Apr.21,MO,2,1,1
2021,Mar.21,IL,9,7,2
2021,Mar.21,CO,5,4,1
2021,Mar.21,CA,16,9,7
2021,Mar.21,AR,2,1,1
2021,Mar.21,OH,6,5,1
2021,Mar.21,MN,7,6,1
2021,Mar.21,TX,15,11,4
2021,Mar.21,OR,3,2,1
2021,Mar.21,IA,3,2,1
2021,Mar.21,NY,9,5,4
2021,Mar.21,MD,2,1,1
2021,Mar.21,OK,2,1,1
2021,Mar.21,PR,2,1,1
2021,Mar.21,NJ,7,3,4
2021,Mar.21,PA,2,1,1
2021,Mar.21,MA,3,1,2
2021,Feb.21,AL,4,3,1
2021,Feb.21,TX,14,8,6
2021,Feb.21,NC,5,3,2
2021,Feb.21,NY,13,8,5
2021,Feb.21,CA,29,3,26
2021,Feb.21,MA,5,2,3
2021,Feb.21,TN,5,2,3
2021,Feb.21,FL,5,4,1
2021,Feb.21,LA,3,2,1
2021,Feb.21,IN,5,3,2
2021,Feb.21,MN,3,2,1
2021,Feb.21,OH,6,3,3
2021,Feb.21,KY,6,1,5
2021,Feb.21,NJ,8,2,6
2021,Feb.21,IL,7,4,3
2021,Feb.21,GA,2,1,1
2021,Feb.21,PA,6,4,2
2021,Feb.21,CO,4,2,2
2021,Feb.21,NE,2,1,1
2021,Jan.21,FL,13,11,2
2021,Jan.21,MS,3,2,1
2021,Jan.21,TX,31,20,11
2021,Jan.21,CT,4,3,1
2021,Jan.21,OK,7,3,4
2021,Jan.21,KS,3,2,1
2021,Jan.21,NC,6,4,2
2021,Jan.21,GA,5,3,2
2021,Jan.21,NJ,17,4,13
2021,Jan.21,AL,6,4,2
2021,Jan.21,MO,5,2,3
2021,Jan.21,OR,6,5,1
2021,Jan.21,NY,19,9,10
2021,Jan.21,CA,68,4,64
2021,Jan.21,NV,5,2,3
2021,Jan.21,MD,7,1,6
2021,Jan.21,MI,5,2,3
2021,Jan.21,TN,8,2,6
2021,Jan.21,NM,6,2,4
2021,Jan.21,DE,2,1,1
2021,Jan.21,IL,11,4,7
2021,Jan.21,CO,4,1,3
2021,Jan.21,AR,4,1,3
2021,Jan.21,VA,7,2,5
2021,Jan.21,OH,5,2,3
2020,Dec.20,PA,10,5,5
2020,Dec.20,FL,11,9,2
2020,Dec.20,IN,7,4,3
2020,Dec.20,MI,11,3,8
2020,Dec.20,AR,5,1,4
2020,Dec.20,NY,14,6,8
2020,Dec.20,CA,98,15,83
2020,Dec.20,GA,6,4,2
2020,Dec.20,VA,7,6,1
2020,Dec.20,NJ,10,2,8
2020,Dec.20,NC,9,7,2
2020,Dec.20,TX,21,14,7
2020,Dec.20,SC,4,3,1
2020,Dec.20,OR,5,4,1
2020,Dec.20,MN,2,1,1
2020,Dec.20,OK,3,2,1
2020,Dec.20,TN,10,5,5
2020,Dec.20,WV,3,2,1
2020,Dec.20,AL,3,2,1
2020,Dec.20,IA,2,1,1
2020,Dec.20,IL,13,2,11
2020,Dec.20,NH,3,2,1
2020,Dec.20,NE,3,1,2
2020,Dec.20,OH,9,4,5
2020,Dec.20,KY,9,2,7
2020,Dec.20,WI,4,3,1
2020,Dec.20,NV,2,1,1
2020,Dec.20,CO,8,1,7
2020,Nov.20,AL,4,2,2
2020,Nov.20,NC,9,2,7
2020,Nov.20,OK,5,4,1
2020,Nov.20,TX,21,16,5
